Date,Close,Volume,Ticker
2020-09-18,9.890000343322754,564300,LCID
2020-09-21,9.859999656677246,762800,LCID
2020-09-22,9.880000114440918,1280800,LCID
2020-09-23,9.850000381469727,192600,LCID
2020-09-24,9.770000457763672,605500,LCID
2020-09-25,9.8100004196167,692500,LCID
2020-09-28,9.829999923706055,72300,LCID
2020-09-29,9.779999732971191,189600,LCID
2020-09-30,9.779999732971191,546200,LCID
2020-10-01,9.760000228881836,1068500,LCID
2020-10-02,9.739999771118164,3925700,LCID
2020-10-05,9.710000038146973,3148000,LCID
2020-10-06,9.680000305175781,1902400,LCID
2020-10-07,9.710000038146973,1325400,LCID
2020-10-08,9.717000007629395,550300,LCID
2020-10-09,9.75,2401500,LCID
2020-10-12,9.729999542236328,172300,LCID
2020-10-13,9.699999809265137,1623900,LCID
2020-10-14,9.680000305175781,2177900,LCID
2020-10-15,9.680000305175781,348000,LCID
2020-10-16,9.680000305175781,305000,LCID
2020-10-19,9.680000305175781,348700,LCID
2020-10-20,9.670000076293945,78200,LCID
2020-10-21,9.65999984741211,292300,LCID
2020-10-22,9.649999618530273,1441900,LCID
2020-10-23,9.630000114440918,2067800,LCID
2020-10-26,9.649999618530273,2394800,LCID
2020-10-27,9.649999618530273,304100,LCID
2020-10-28,9.649999618530273,1571500,LCID
2020-10-29,9.649999618530273,1652900,LCID
2020-10-30,9.630000114440918,1154300,LCID
2020-11-02,9.630000114440918,716700,LCID
2020-11-03,9.6899995803833,189800,LCID
2020-11-04,9.6899995803833,509800,LCID
2020-11-05,9.770000457763672,1534500,LCID
2020-11-06,9.720000267028809,1444000,LCID
2020-11-09,9.670000076293945,163500,LCID
2020-11-10,9.699999809265137,714700,LCID
2020-11-11,9.680000305175781,724500,LCID
2020-11-12,9.699999809265137,1502000,LCID
2020-11-13,9.6899995803833,754800,LCID
2020-11-16,9.699999809265137,151300,LCID
2020-11-17,9.710000038146973,46000,LCID
2020-11-18,9.739999771118164,301700,LCID
2020-11-19,9.720000267028809,44500,LCID
2020-11-20,9.710000038146973,995900,LCID
2020-11-23,9.75,134400,LCID
2020-11-24,9.760000228881836,57200,LCID
2020-11-25,9.760000228881836,1332400,LCID
2020-11-27,9.829999923706055,416200,LCID
2020-11-30,9.880000114440918,1623700,LCID
2020-12-01,9.880000114440918,1394300,LCID
2020-12-02,9.869999885559082,1441000,LCID
2020-12-03,9.869999885559082,513200,LCID
2020-12-04,9.880000114440918,405400,LCID
2020-12-07,9.9399995803833,2085300,LCID
2020-12-08,9.859999656677246,2296400,LCID
2020-12-09,9.920000076293945,3394300,LCID
2020-12-10,9.90999984741211,7606800,LCID
2020-12-11,9.9399995803833,900000,LCID
2020-12-14,9.979999542236328,1982500,LCID
2020-12-15,9.970000267028809,1162400,LCID
2020-12-16,9.944999694824219,1191600,LCID
2020-12-17,9.970000267028809,1483600,LCID
2020-12-18,9.960000038146973,869000,LCID
2020-12-21,9.970000267028809,532800,LCID
2020-12-22,10.0,755600,LCID
2020-12-23,10.029999732971191,2353700,LCID
2020-12-24,10.039999961853027,2093000,LCID
2020-12-28,10.079999923706055,4067900,LCID
2020-12-29,10.0600004196167,1784600,LCID
2020-12-30,10.069999694824219,3152700,LCID
