ticker,date,company,industry,sector,exchange
A,7/12/22,Agilent Technologies Inc.,Medical Diagnostics & Research,Healthcare,New York Stock Exchange
AA,7/12/22,Alcoa Corporation,Metals & Mining,Basic Materials,New York Stock Exchange
AABA,7/12/22,Altaba Inc.,Asset Management,Financial Services,Nasdaq Global Select
AAC,7/12/22,AAC Holdings Inc.,Health Care Providers,Healthcare,New York Stock Exchange
AAL,7/12/22,American Airlines Group Inc.,Airlines,Industrials,Nasdaq Global Select
AAMC,7/12/22,Altisource Asset Management Corp Com,Asset Management,Financial Services,NYSE American
AAME,7/12/22,Atlantic American Corporation,Insurance - Life,Financial Services,NASDAQ Global Market
AAN,7/12/22,Aaron's Inc.,Consulting & Outsourcing,Industrials,New York Stock Exchange
AAOI,7/12/22,Applied Optoelectronics Inc.,Semiconductors,Technology,NASDAQ Global Market
AAON,7/12/22,AAON Inc.,Building Materials,Basic Materials,Nasdaq Global Select
AAP,7/12/22,Advance Auto Parts Inc W/I,Retail - Apparel & Specialty,Consumer Cyclical,New York Stock Exchange
AAPL,7/12/22,Apple Inc.,Computer Hardware,Technology,Nasdaq Global Select
AAT,7/12/22,American Assets Trust Inc.,REITs,Real Estate,New York Stock Exchange
AAU,7/12/22,Almaden Minerals Ltd.,Metals & Mining,Basic Materials,NYSE American
AAWW,7/12/22,Atlas Air Worldwide Holdings,Transportation & Logistics,Industrials,Nasdaq Global Select
AAXN,7/12/22,Axon Enterprise Inc.,Aerospace & Defense,Industrials,Nasdaq Global Select
AB,7/12/22,AllianceBernstein Holding L.P. Units,Asset Management,Financial Services,New York Stock Exchange
ABB,7/12/22,ABB Ltd,Industrial Products,Industrials,New York Stock Exchange
ABBV,7/12/22,AbbVie Inc.,Drug Manufacturers,Healthcare,New York Stock Exchange
ABC,7/12/22,AmerisourceBergen Corporation,Medical Distribution,Healthcare,New York Stock Exchange
ABCB,7/12/22,Ameris Bancorp,Banks,Financial Services,Nasdaq Global Select
ABDC,7/12/22,Alcentra Capital Corp.,Asset Management,Financial Services,Nasdaq Global Select
ABEO,7/12/22,Abeona Therapeutics Inc.,Biotechnology,Healthcare,NASDAQ Capital Market
ABEV,7/12/22,Ambev S.A. American Depositary Shares (Each representing 1),Beverages - Alcoholic,Consumer Defensive,New York Stock Exchange
ABG,7/12/22,Asbury Automotive Group Inc,Autos,Consumer Cyclical,New York Stock Exchange
ABIL,7/12/22,Ability Inc.,Communication Equipment,Technology,NASDAQ Capital Market
ABIO,7/12/22,ARCA biopharma Inc.,Biotechnology,Healthcare,NASDAQ Capital Market
ABM,7/12/22,ABM Industries Incorporated,Business Services,Industrials,New York Stock Exchange
ABMD,7/12/22,ABIOMED Inc.,Medical Devices,Healthcare,Nasdaq Global Select
ABR,7/12/22,Arbor Realty Trust,REITs,Real Estate,New York Stock Exchange
ABT,7/12/22,Abbott Laboratories,Medical Devices,Healthcare,New York Stock Exchange
ABTX,7/12/22,Allegiance Bancshares Inc.,Banks,Financial Services,NASDAQ Global Market
ABUS,7/12/22,Arbutus Biopharma Corporation,Biotechnology,Healthcare,Nasdaq Global Select
AC,7/12/22,Associated Capital Group Inc.,Brokers & Exchanges,Financial Services,New York Stock Exchange
ACA,7/12/22,Arcosa Inc.,Engineering & Construction,Industrials,New York Stock Exchange
ACAD,7/12/22,ACADIA Pharmaceuticals Inc.,Biotechnology,Healthcare,Nasdaq Global Select
ACB,7/12/22,Aurora Cannabis Inc.,Drug Manufacturers,Healthcare,New York Stock Exchange
ACBI,7/12/22,Atlantic Capital Bancshares Inc.,Banks,Financial Services,Nasdaq Global Select
ACC,7/12/22,American Campus Communities Inc,REITs,Real Estate,New York Stock Exchange
ACCO,7/12/22,Acco Brands Corporation,Industrial Products,Industrials,New York Stock Exchange
ACER,7/12/22,Acer Therapeutics Inc.,Biotechnology,Healthcare,NASDAQ Capital Market
ACET,7/12/22,Aceto Corporation,Drug Manufacturers,Healthcare,Nasdaq Global Select
ACGL,7/12/22,Arch Capital Group Ltd.,Insurance,Financial Services,Nasdaq Global Select
ACH,7/12/22,Aluminum Corporation of China Limited American Depositary Shares,Metals & Mining,Basic Materials,New York Stock Exchange
