Date,Symbol,Company Name
"Dec 29, 2008",CNGL,China Nutrifruit Group Ltd.
"Dec 10, 2008",HNB,Herald National Bank
"Dec 5, 2008",CYNA,"Cynapsus Therapeutics, Inc."
"Dec 5, 2008",CLW,Clearwater Paper Corp.
"Nov 20, 2008",PLPM,"Planet Payment, Inc."
"Nov 20, 2008",LOPE,"Grand Canyon Education, Inc."
"Nov 19, 2008",TRNX,"Bbhc, Inc."
"Nov 19, 2008",TPIY,"Tianyin Pharmaceutical Co, Inc."
"Nov 19, 2008",MHH,"Mastech Digital, Inc."
"Nov 19, 2008",EBR,Brazilian Electric Power Co.
"Nov 18, 2008",XTLB,Xtl Biopharmaceuticals Ltd.
"Nov 13, 2008",LPIH,Longwei Petroleum Investment Holding Ltd.
"Nov 5, 2008",DFFN,"Diffusion Pharmaceuticals, Inc."
"Nov 3, 2008",CFL,"Brink's Home Security Holdings, Inc."
"Oct 28, 2008",CNEP,China North East Petroleum Holdings Ltd.
"Oct 17, 2008",DMRC,Digimarc Corp.
"Oct 8, 2008",HBCP,"Home Bancorp, Inc."
"Oct 8, 2008",FSFG,"First Savings Financial Group, Inc."
"Sep 23, 2008",IRSB,"Iris Biotechnologies, Inc."
"Sep 18, 2008",EC,Ecopetrol SA
"Sep 15, 2008",HCI,"Hci Group, Inc."
"Sep 11, 2008",DCX,Strategic Accelerated Redemption Securities
"Sep 9, 2008",PSOF,Pansoft Co Ltd.
"Sep 9, 2008",NHR1,North Asia Investment Corp.
"Sep 8, 2008",CPHC,Canterbury Park Holding Corp.
"Aug 19, 2008",IBIO,"Ibio, Inc."
"Aug 15, 2008",WPRT,"Westport Fuel Systems, Inc."
"Aug 15, 2008",GSL,"Global Ship Lease, Inc."
"Aug 15, 2008",COMS,Comsovereign Holding Corp.
"Aug 14, 2008",SGTI,"Shengtai Pharmaceutical, Inc."
"Aug 13, 2008",TKTM,"Ticketmaster Entertainment, Inc."
"Aug 13, 2008",MYRG,"Myr Group, Inc."
"Aug 12, 2008",TREE,"Lendingtree, Inc."
"Aug 12, 2008",ILG,"Ilg, Inc."
"Aug 12, 2008",HSNI,"Hsn, Inc."
"Aug 8, 2008",RAX,"Rackspace Hosting, Inc."
"Aug 6, 2008",PRIM,Primoris Services Corp.
"Aug 4, 2008",LLEN,"L & L Energy, Inc."
"Jul 30, 2008",DL,China Distance Education Holdings Ltd.
"Jul 25, 2008",URG,"Ur-energy, Inc."
"Jul 23, 2008",JBT,John Bean Technologies Corp.
"Jul 17, 2008",INVB,"Inventabiotech, Inc."
"Jul 16, 2008",EVK,"Ever-glory International Group, Inc."
"Jul 8, 2008",DNBK,"Danvers Bancorp, Inc."
"Jul 2, 2008",NVDQ,"Novadaq Technologies, Inc."
"Jul 2, 2008",ERII,"Energy Recovery, Inc."
"Jun 26, 2008",FTFT,"Future Fintech Group, Inc."
"Jun 26, 2008",BTG,B2gold Corp.
"Jun 26, 2008",ALO,"Alio Gold, Inc."
"Jun 25, 2008",JUHL,"Juhl Energy, Inc."
"Jun 25, 2008",GLTC,"Geltech Solutions, Inc."
"Jun 25, 2008",CRWG,"Crowdgather, Inc."
"Jun 25, 2008",CDXC,Chromadex Corp.
"Jun 24, 2008",NEUL,"Neulion, Inc."
"Jun 24, 2008",LPS,"Lender Processing Services, Inc."
"Jun 24, 2008",CRHM,Crh Medical Corp.
"Jun 20, 2008",TOMZ,"Tomi Environmental Solutions, Inc."
"Jun 19, 2008",HPJ,"Highpower International, Inc."
"Jun 12, 2008",SNI,"Scripps Networks Interactive, Inc."
