ticker,date,company name,industry,sector,exchange
CLW,5-Dec-08,Clearwater Paper Corporation,Forest Products,Basic Materials,New York Stock Exchange
LOPE,20-Nov-08,Grand Canyon Education Inc.,Education,Consumer Defensive,Nasdaq Global Select
MHH,19-Nov-08,Mastech Digital Inc,Employment Services,Industrials,NYSE American
EBR,19-Nov-08,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one),Utilities - Regulated,Utilities,New York Stock Exchange
XTLB,18-Nov-08,XTL Biopharmaceuticals Ltd.,Biotechnology,Healthcare,NASDAQ Capital Market
DFFN,5-Nov-08,Diffusion Pharmaceuticals Inc.,Biotechnology,Healthcare,NASDAQ Capital Market
DMRC,17-Oct-08,Digimarc Corporation,Application Software,Technology,Nasdaq Global Select
HBCP,8-Oct-08,Home Bancorp Inc.,Banks,Financial Services,Nasdaq Global Select
FSFG,8-Oct-08,First Savings Financial Group Inc.,Banks,Financial Services,NASDAQ Capital Market
EC,18-Sep-08,Ecopetrol S.A. American Depositary Shares,Oil & Gas - Integrated,Energy,New York Stock Exchange
HCI,15-Sep-08,HCI Group Inc.,Insurance - Property & Casualty,Financial Services,New York Stock Exchange
CPHC,8-Sep-08,Canterbury Park Holding Corporation,Travel & Leisure,Consumer Cyclical,NASDAQ Global Market
IBIO,19-Aug-08,iBio Inc.,Biotechnology,Healthcare,NYSE American
WPRT,15-Aug-08,Westport Fuel Systems Inc,Autos,Consumer Cyclical,Nasdaq Global Select
GSL,15-Aug-08,Global Ship Lease Inc New Class A,Transportation & Logistics,Industrials,New York Stock Exchange
MYRG,13-Aug-08,MYR Group Inc.,Engineering & Construction,Industrials,Nasdaq Global Select
TREE,12-Aug-08,LendingTree Inc.,Banks,Financial Services,Nasdaq Global Select
PRIM,6-Aug-08,Primoris Services Corporation,Engineering & Construction,Industrials,Nasdaq Global Select
DL,30-Jul-08,China Distance Education Holdings Limited American Depositary Shares,Education,Consumer Defensive,New York Stock Exchange
URG,25-Jul-08,Ur-Energy Inc (Canada),Metals & Mining,Basic Materials,NYSE American
JBT,23-Jul-08,John Bean Technologies Corporation,Industrial Products,Industrials,New York Stock Exchange
EVK,16-Jul-08,Ever-Glory International Group Inc.,Manufacturing - Apparel & Furniture,Consumer Cyclical,NASDAQ Global Market
ERII,2-Jul-08,Energy Recovery Inc.,Industrial Products,Industrials,Nasdaq Global Select
FTFT,26-Jun-08,Future FinTech Group Inc.,Beverages - Non-Alcoholic,Consumer Defensive,NASDAQ Capital Market
BTG,26-Jun-08,B2Gold Corp (Canada),Metals & Mining,Basic Materials,NYSE American
ALO,26-Jun-08,Alio Gold Inc. (Canada),Metals & Mining,Basic Materials,NYSE American
CDXC,25-Jun-08,ChromaDex Corporation,Biotechnology,Healthcare,NASDAQ Capital Market
CRHM,24-Jun-08,CRH Medical Corporation of Beneficial Interest,Medical Instruments & Equipment,Healthcare,NYSE American
HPJ,19-Jun-08,Highpower International Inc,Computer Hardware,Technology,NASDAQ Global Market
