ticker,date,company name,industry,sector,description,exchange,market cap,website,ceo
CLW,5-Dec-08,Clearwater Paper Corporation,Forest Products,Basic Materials,"Clearwater Paper Corp is a producer of tissue and paperboard products. The company manufactures consumer tissue, away-from-home tissue, parent roll tissue, bleached paperboard and pulp at manufacturing facilities across the nation.",New York Stock Exchange,544369205,http://www.clearwaterpaper.com,Linda K. Massman
LOPE,20-Nov-08,Grand Canyon Education Inc.,Education,Consumer Defensive,"Grand Canyon Education Inc is an American for-profit educational company that operates a private university in Phoenix, Arizona, as well as online educational programs.",Nasdaq Global Select,4493977225,http://www.gcu.edu,Brian E. Mueller
MHH,19-Nov-08,Mastech Digital Inc,Employment Services,Industrials,Mastech Digital Inc is a provider of Information Technology (IT) staffing services. The Company recruit through Recruiting Centers located in the U.S. and India that deliver a full range of recruiting and sourcing services.,NYSE American,82378020,http://www.mastechdigital.com,Vivek Gupta
EBR,19-Nov-08,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one),Utilities - Regulated,Utilities,"Centrais Eletricas Brasileiras SA, along with its subsidiaries, is engaged in generation, transmission and distribution of electricity in Brazil. It operates in three segments namely generation, transmission and distribution segment.",New York Stock Exchange,13756285980,http://www.eletrobras.com,Wilson Ferreira Junior
XTLB,18-Nov-08,XTL Biopharmaceuticals Ltd.,Biotechnology,Healthcare,"XTL Biopharmaceuticals Ltd is engaged in the acquisition & development of pharmaceutical drugs for the treatment of unmet medical needs, currently for the treatment of schizophrenia and Hepatitis C. It has also developed a home therapeutic device.",NASDAQ Capital Market,11075991,http://www.xtlbio.com,Josh Levine
DFFN,5-Nov-08,Diffusion Pharmaceuticals Inc.,Biotechnology,Healthcare,"Diffusion Pharmaceuticals Inc is a clinical stage biotechnology company focused on extending the life expectancy of cancer patients by improving the effectiveness of current standard-of-care treatments, including radiation therapy and chemotherapy.",NASDAQ Capital Market,8373048,http://www.diffusionpharma.com,David Kalergis
DMRC,17-Oct-08,Digimarc Corporation,Application Software,Technology,"Digimarc Corp is an Information Technology company. It develops solutions, licenses intellectual property, and provides development services to global business partners across industries.",Nasdaq Global Select,250328511,http://www.digimarc.com,Bruce Davis
HBCP,8-Oct-08,Home Bancorp Inc.,Banks,Financial Services,Home Bancorp Inc is a bank holding company. It attracts deposits from the general public and uses those funds to invest in loans and securities.,Nasdaq Global Select,335881360,http://www.home24bank.com,John W. Bordelon
FSFG,8-Oct-08,First Savings Financial Group Inc.,Banks,Financial Services,First Savings Financial Group Inc is a saving and loan holding company. The Company through its subsidiary offers traditional financial services to consumers and businesses in its main market area.,NASDAQ Capital Market,117496767,http://www.fsbbank.net,Larry W. Myers
EC,18-Sep-08,Ecopetrol S.A. American Depositary Shares,Oil & Gas - Integrated,Energy,"Ecopetrol SA is an oil company. The firm explores, develops, and conducts oil production activities internationally. It operates in Latin America, United States and also engages in refining and marketing of crude oil and its byproducts.",New York Stock Exchange,38814159778,http://www.ecopetrol.com.co,Felipe Bayon Pardo
HCI,15-Sep-08,HCI Group Inc.,Insurance - Property & Casualty,Financial Services,"HCI Group Inc is a Florida-based company property and casualty insurance company. Its operations are divided into four divisions property and casualty insurance, reinsurance, real estate, and information technology.",New York Stock Exchange,441623361,http://www.hcpci.com,Paresh Patel
CPHC,8-Sep-08,Canterbury Park Holding Corporation,Travel & Leisure,Consumer Cyclical,"Canterbury Park Holding Corp is involved in pari-mutual wagering on horse races and unbanked card games. It is also engaged in related services and activities such as food and beverage, publication sales, catering, and events.",NASDAQ Global Market,71933619,http://www.canterburypark.com,Randall D. Sampson
IBIO,19-Aug-08,iBio Inc.,Biotechnology,Healthcare,"iBio Inc is a biotechnology company. It is engaged in commercializing its proprietary platform technologies, iBioLaunch for vaccines and therapeutic proteins & iBioModulator for vaccine enhancement and developing select product candidates.",NYSE American,16818113,http://www.ibioinc.com,Robert B. Kay
WPRT,15-Aug-08,Westport Fuel Systems Inc,Autos,Consumer Cyclical,"Westport Fuel Systems Inc is a provider of high-performance, low-emission engine and fuel system technologies utilizing gaseous fuels.",Nasdaq Global Select,160196175,http://www.westport.com,Nancy S. Gougarty
GSL,15-Aug-08,Global Ship Lease Inc New Class A,Transportation & Logistics,Industrials,"Global Ship Lease Inc owns a fleet of modern containerships of diverse sizes and charters the vessels out under long-term, fixed-rate charters to reputable container shipping companies.",New York Stock Exchange,63248552,http://www.globalshiplease.com,Ian J. Webber
MYRG,13-Aug-08,MYR Group Inc.,Engineering & Construction,Industrials,"MYR Group Inc provides specialty electrical construction services. It offers design, engineering, procurement, construction, upgrade, maintenance and repair services on transmission and distribution network.",Nasdaq Global Select,506384224,http://www.myrgroup.com,Richard S. Swartz
TREE,12-Aug-08,LendingTree Inc.,Banks,Financial Services,"LendingTree Inc is an online lender exchange that connects consumers with lenders, and provides online tools to aid consumers in their financial divisions. It provides services such as mortgages, refinance loans, home equity loans, among others.",Nasdaq Global Select,3881871079,https://www.lendingtree.com,Douglas R. Lebda
PRIM,6-Aug-08,Primoris Services Corporation,Engineering & Construction,Industrials,"Primoris Services Corp provides construction, maintenance, replacement, water and waste-water and engineering services to public utilities, petrochemical companies, energy companies and municipalities.",Nasdaq Global Select,1025123279,http://www.primoriscorp.com,David L. King
DL,30-Jul-08,China Distance Education Holdings Limited American Depositary Shares,Education,Consumer Defensive,China Distance Education Holdings Ltd along with its subsidiaries provides online and offline professional education services and sells related products in China. It provides training and test preparation courses in for various industries.,New York Stock Exchange,238563181,http://www.cdeledu.com,Zhengdong Zhu
URG,25-Jul-08,Ur-Energy Inc (Canada),Metals & Mining,Basic Materials,"Ur-Energy Inc is an exploration stage mining company. It is engaged in uranium mining, recovery and processing activities, including the acquisition, exploration, development and operation of uranium mineral properties in the United States.",NYSE American,123934044,http://www.ur-energy.com,Jeffrey T. Klenda
JBT,23-Jul-08,John Bean Technologies Corporation,Industrial Products,Industrials,"John Bean Technologies Corp is a technology solutions provider of food & beverage industry with focus on proteins, liquid foods and automated system solutions. It designs, produces & services products & systems for multi-national & regional customers.",New York Stock Exchange,2557078786,http://www.jbtcorporation.com,Thomas W. Giacomini
EVK,16-Jul-08,Ever-Glory International Group Inc.,Manufacturing - Apparel & Furniture,Consumer Cyclical,"Ever-Glory International Group Inc retails branded fashion apparel and operates as an apparel supply chain solution provider. The company operates a retail business with over 1000 retail locations, also offering global apparel supply chain solutions.",NASDAQ Global Market,55937188,http://www.everglorygroup.com,Edward Yihua Kang
ERII,2-Jul-08,Energy Recovery Inc.,Industrial Products,Industrials,"Energy Recovery Inc manufactures products that are used in the desalination process. The company serves the oil and gas, chemical processing and water industries across the world.",Nasdaq Global Select,423357599,http://www.energyrecovery.com,Chris M. Gannon
